거래처코드,거래처명,대표자명
D0078,북부롯데가스보일러(광주서북구롯데),박기영
D0079,롯데벤슨(춘천),박재현
D0080,롯데냉열기기(서부산냉기),사공경훈
D0081,문진냉기,나문진
D0082,롯데가스보일러서비스센타J(김제롯데),박형준
D0083,부성벤더,신기식
D0084,조은에너지(광진롯데),정석순
D0085,롯데가스텍(김해롯데),김용권
D0086,롯데가스보일러(천안남부롯데),이강섭
D0087,(주)성호,전용식
D0088,서원상사,김종석
D0089,일호서비스,김일호
D0090,태양전기판넬,성경희
D0091,제일종합상사,이경수
D0092,롯데냉동공조(포항),이정식
D0093,명성에이치앤피,신성숙
D0094,남포항롯데,김원종
D0095,미래자판기랜드,김종원
D0096,대성자판기,이기열
D0097,롯데보일러원주지점(원주남부),원동빈
D0098,텐플러스 시스템,임순희
D0099,성보공업사,윤정모
D0100,광역롯데,전미화
D0101,속초롯데,박용광
D0102,삼인ENG(북전주롯데),김성주
D0103,롯데가스기기(구로),이기영
D0104,신부산롯데(서사하롯데),정재곤
D0105,구미롯데,조준형
D0106,관악롯데냉열기기(관악),한승환
D0107,우리냉동,유익
D0108,보일러상사(정읍롯데),여현식
D0109,경북유통,주해룡
D0110,서비스뱅크,유택근
D0111,삼성자판,박희대
D0112,동양주방인테리어,김정곤
D0113,싱싱냉동,박강희
D0114,한솔종합상사,이홍수
D0115,대복엔지니어링(서안양롯데),배한근
D0116,미래냉동,오세영
D0117,울산남구롯데,이복남
D0118,(주)동양엔지니어링(광주남구롯데),김기국
D0119,(주)성안이엔지(남구롯데),강성국
D0120,유성수도상사(동래롯데),김효진
D0121,태양자판기서비스,허성원
D0122,창원롯데,박준수
D0123,대한에너지(거창롯데),윤석
D0124,정우유통,이정우
D0125,씽씽냉동,김성표
D0126,전북롯데냉기(전북냉기),공태식
D0127,계양롯데,강동환
D0128,삼영냉동산업,이혜숙
D0129,원에이티엠(주),서현규
D0130,로얄냉동,권영숙
D0131,명일엔지니어링(서초강남),서동일
D0132,협신상사,백경목
D0133,삼학ENG(목포롯데),서병연
D0134,강릉롯데(롯데가스보일러강릉),이용선
D0135,플러스상사(광주북부),명종학
D0136,롯데자판기,김옥연
D0137,세원냉동설비수리,정명호
D0138,강북서비스,탁성철
D0139,광성에너지(부천롯데),위용환
D0140,모우종합설비(완도롯데),윤성남
D0141,일도벤딩,안영덕
D0142,성북보일러(성북롯데),심공보
D0143,롯데가스보일러서부대리점(서부롯데),김명숙
D0144,롯데가스보일러(김천롯데),문성식
D0145,롯데자판기제일상사,김병진
D0146,대성종합설비(당진롯데),박희선
D0147,신일산냉기(신영자동판매기),황선태
D0148,구리롯데,박창현
D0149,롯데가스보일러(안성롯데),김일태
D0150,태성에너지,이태근
D0151,전북기공,정원조
D0152,롯데가스기기동구지정점(대전동구롯데),박옥규
D0153,롯데유통,천용성
D0154,남원냉동주방,방명호
D0155,삼성자판서비스,이강춘
D0156,리사이클플러스,홍성만
D0157,덕인유통,서동국
D0158,(주)한에너지시스템,장사윤
D0159,충주대리점,박정용
D0160,계현사,김민수
D0161,태양열기(김포롯데),김미숙
D0162,모악ENG(남전주롯데),서인호
D0163,구미종합아이스크림,조옥래
D0164,코리아냉.난방(군산남부롯데),이종현
D0165,청주롯데보일러,주장섭
D0166,롯데가스보일러 신북구점,김성열
D0167,원엔지니어링(일산롯데),이명진
D0168,신순천롯데(롯데가스보일러),김미희
D0169,(주)두원아이스뱅크,장해은
D0170,대한종합건재,안향자
D0171,도연에너지(광주광산롯데),박진우
D0172,가인상사,정수임
D0173,하린냉동,김종율
D0174,성운이엔지,양회석
D0175,소리냉기,강성훈
D0176,모든ENG(서전주롯데),김현준
D0177,그린에너텍,박용서
D0178,롯데가스보일러마산(동마산),박재문
D0179,하나벤딩(주),박진구
D0180,중부서비스,민원기
D0181,신영사,이주경
D0182,둔산롯데,박광석
D0183,롯데가스보일러첨단점(광주첨단롯데),진영호
D0184,광양롯데가스보일러(광양롯데),오균석
D0185,(주)두손템스,손응호
D0186,정일상사(남양주롯데),김상균
D0187,여수중앙자판,송춘식
D0188,영인냉열상사(춘천),정인영
D0189,자판기월드,황성욱
D0190,명성냉열기상사,김정호
D0191,기현쇼케이스,이재창
D0192,동일가스상사(제주롯데),문유진
D0193,새부산롯데(금정롯데),박민갑
D0194,롯데가스보일러(문막),최상수
D0195,롯데엔지니어링(금천),정옥균
D0196,아이에스,김인수
D0197,거제냉동,홍정배
D0198,현대상사,이채욱
D0199,원주삼성벤딩,최병규
D0200,광진엔지니어링,신찬철
D0201,센텀냉동,이광수
D0202,우리냉동,김선옥
D0203,롯데가스보일러(서산롯데),이경순
D0204,우리상사,민성필
D0205,(주)거창ENG,최운학
D0206,일조유통,이진현
D0207,동구미롯데,김한수
D0208,경북냉열,박준영
D0209,COOL 냉난방시스템,권상배
D0210,진주롯데기공냉동서비스,방성원
D0211,명대상사(보령롯데),이창수
D0212,썬웨이일등보일러(신남원롯데),정경호
D0213,협승냉열,김미용
D0214,벤딩테크(동광주자판),이이형
D0215,롯데가스보일러설비(서수원롯데),모인환
D0216,우진냉동,심재용
D0217,자판기서비스,권오석
D0218,가스보일러A/S센타(안산롯데),지기훈
D0219,대진상사,정진원
D0220,제일기업(연제롯데),정광휘
D0221,명도상사,유기현
D0222,자판판매(주),이정숙
D0223,건영기업(신노원롯데),서동권
D0224,우진정밀(광명롯데),이호문
D0225,유성ENG(북전주롯데),홍성경
D0226,부경롯데(남구롯데),정진호
D0227,부산특판,박종규
D0228,제이엘엔지니어링,이종배
D0229,서비스메카,김연기
D0230,광주북서구롯데(광주북서구롯데),서진석
D0231,제주냉동,강정일
D0232,부평롯데,허빈
D0233,서경냉열,김성근
D0234,롯데보일러(거제롯데(신규),김동언
D0235,(주)대정이앤씨,이수정
D0236,신갈롯데,권영기
